id,ident,type,name,lat,lng,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
6404,TNCC,medium_airport,Hato International Airport,12.1889,-68.959801,29,NA,CW,CW-U-A,Willemstad,yes,TNCC,CUR,,,http://en.wikipedia.org/wiki/Hato_International_Airport,Curaçao
27122,YPXM,medium_airport,Christmas Island Airport,-10.450599670410156,105.69000244140625,916,AS,CX,CX-U-A,Christmas Island,yes,YPXM,XCH,,http://www.christmasislandairport.com/,http://en.wikipedia.org/wiki/Christmas_Island_Airport,
3174,HDAM,medium_airport,Djibouti-Ambouli Airport,11.547300338745117,43.15950012207031,49,AF,DJ,DJ-DJ,Djibouti City,yes,HDAM,JIB,,,http://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport,
6361,TDCF,medium_airport,Canefield Airport,15.336700439453125,-61.3922004699707,13,NA,DM,DM-10,Canefield,yes,TDCF,DCF,,,http://en.wikipedia.org/wiki/Canefield_Airport,
3112,GMML,medium_airport,Hassan I Airport,27.151699,-13.2192,207,AF,EH,EH-U-A,El Aaiún,yes,GMML,EUN,,,http://en.wikipedia.org/wiki/Hassan_Airport,"GSAI, Laâyoune"
3202,HHAS,medium_airport,Asmara International Airport,15.291899681091309,38.910701751708984,7661,AF,ER,ER-SK,Asmara,yes,HHAS,ASM,,,http://en.wikipedia.org/wiki/Asmara_International_Airport,
4960,NFNA,medium_airport,Nausori International Airport,-18.04330062866211,178.5590057373047,17,OC,FJ,FJ-C,Nausori,yes,NFNA,SUV,,,http://en.wikipedia.org/wiki/Nausori_International_Airport,
6087,SFAL,medium_airport,Port Stanley Airport,-51.685699462891,-57.777599334717,75,SA,FK,FK-U-A,Stanley,yes,SFAL,PSY,,,http://en.wikipedia.org/wiki/Port_Stanley_Airport,
5500,PTPN,medium_airport,Pohnpei International Airport,6.985099792480469,158.20899963378906,10,OC,FM,FM-PNI,Pohnpei Island,yes,PTPN,PNI,PNI,,http://en.wikipedia.org/wiki/Pohnpei_International_Airport,Ponape
2559,EKVG,medium_airport,Vagar Airport,62.0635986328125,-7.277219772338867,280,EU,FO,FO-U-A,Vagar,yes,EKVG,FAE,,http://www.floghavn.fo/,http://en.wikipedia.org/wiki/V%C3%A1gar_Airport,Faroes
2966,FOOL,medium_airport,"Libreville Leon M'ba International Airport",0.458600014448,9.412280082699999,39,AF,GA,GA-1,Libreville,yes,FOOL,LBV,,http://www.adlgabon.com,http://en.wikipedia.org/wiki/Libreville_International_Airport,
6367,TGPY,medium_airport,Point Salines International Airport,12.004199981689453,-61.78620147705078,41,NA,GD,GD-GE,"Saint George's",yes,TGPY,GND,,http://www.psiagrenada.com/,http://en.wikipedia.org/wiki/Point_Salines_International_Airport,
6198,SOCA,medium_airport,Cayenne-Rochambeau Airport,4.819809913639999,-52.360401153599994,26,SA,GF,GF-CY,Cayenne / Rochambeau,yes,SOCA,CAY,,,http://en.wikipedia.org/wiki/Cayenne-Rochambeau_Airport,Matoury
2425,EGJB,medium_airport,Guernsey Airport,49.435001373291016,-2.6019699573516846,336,EU,GG,GG-U-A,Saint Peter Port,yes,EGJB,GCI,,,http://en.wikipedia.org/wiki/Guernsey_Airport,Channel Islands
4574,LXGB,medium_airport,Gibraltar Airport,36.1511993408,-5.3496599197400005,15,EU,GI,GI-U-A,Gibraltar,yes,LXGB,GIB,,,http://en.wikipedia.org/wiki/Gibraltar_Airport,
114,BGGH,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,283,NA,GL,GL-U-A,Nuuk,yes,BGGH,GOH,,,http://en.wikipedia.org/wiki/Nuuk_Airport,Nuussuaq
3076,GBYD,medium_airport,Banjul International Airport,13.338000297546387,-16.65220069885254,95,AF,GM,GM-W,Banjul,yes,GBYD,BJL,,,http://en.wikipedia.org/wiki/Banjul_International_Airport,Yundum international Airport
3146,GUCY,medium_airport,Conakry International Airport,9.57689,-13.612,72,AF,GN,GN-C,Conakry,yes,GUCY,CKY,,http://www.aeroport-conakry.com/aeroport_international_de_conakry.php,http://en.wikipedia.org/wiki/Conakry_International_Airport,Gbessia International Airport
2876,FGSL,medium_airport,Malabo Airport,3.755270004272461,8.708720207214355,76,AF,GQ,GQ-BN,Malabo,yes,FGSL,SSG,,,http://en.wikipedia.org/wiki/Malabo_International_Airport,Fernando Poo
4644,MGGT,medium_airport,La Aurora Airport,14.58329963684082,-90.52749633789062,4952,NA,GT,GT-GU,Guatemala City,yes,MGGT,GUA,,,http://en.wikipedia.org/wiki/La_Aurora_International_Airport,
3097,GGOV,medium_airport,Osvaldo Vieira International Airport,11.894800186157227,-15.65369987487793,129,AF,GW,GW-BS,Bissau,yes,GGOV,OXB,,,http://en.wikipedia.org/wiki/Osvaldo_Vieira_International_Airport,
41513,SYGO,medium_airport,Ogle Airport,6.80628013611,-58.105899810800004,10,SA,GY,GY-DE,Ogle,yes,SYGO,OGL,,,http://en.wikipedia.org/wiki/Ogle_Airport,
4666,MHTG,medium_airport,Toncontín International Airport,14.06089973449707,-87.21720123291016,3294,NA,HN,HN-FM,Tegucigalpa,yes,MHTG,TGU,,,http://en.wikipedia.org/wiki/Toncont%C3%ADn_International_Airport,
4825,MTPP,medium_airport,Toussaint Louverture International Airport,18.579999923706055,-72.2925033569336,122,NA,HT,HT-OU,Port-au-Prince,yes,MTPP,PAP,,,http://en.wikipedia.org/wiki/Toussaint_Louverture_International_Airport,
2447,EGNS,medium_airport,Isle of Man Airport,54.08330154418945,-4.623889923095703,52,EU,IM,IM-U-A,Castletown,yes,EGNS,IOM,,http://www.iom-airport.com/,http://en.wikipedia.org/wiki/Isle_of_Man_Airport,"Ronaldsway, Douglas"
2880,FJDG,medium_airport,Diego Garcia Naval Support Facility,-7.31327,72.411102,9,AS,IO,IO-U-A,Diego Garcia,no,FJDG,NKW,,,http://en.wikipedia.org/wiki/Diego_Garcia,Chagos
2426,EGJJ,medium_airport,Jersey Airport,49.20790100097656,-2.195509910583496,277,EU,JE,JE-U-A,Saint Helier,yes,EGJJ,JER,,http://www.jerseyairport.com/,http://en.wikipedia.org/wiki/Jersey_Airport,Channel Islands
5426,PCIS,medium_airport,Canton Island Airport,-2.7681200504300003,-171.710006714,9,OC,KI,KI-P,Abariringa,no,PCIS,CIS,,,http://en.wikipedia.org/wiki/Canton_Island_Airport,Kanton Island
2901,FMCH,medium_airport,Prince Said Ibrahim International Airport,-11.5337,43.2719,93,AF,KM,KM-G,Moroni,yes,FMCH,HAH,,,http://en.wikipedia.org/wiki/Prince_Said_Ibrahim_International_Airport,Hahaia
6386,TKPK,medium_airport,Robert L. Bradshaw International Airport,17.311199188232422,-62.71870040893555,170,NA,KN,KN-U-A,Basseterre,yes,TKPK,SKB,,,http://en.wikipedia.org/wiki/Robert_L._Bradshaw_International_Airport,
27203,ZKPY,medium_airport,Pyongyang Sunan International Airport,39.224098,125.669998,117,AS,KP,KP-01,Pyongyang,yes,ZKPY,FNJ,,,https://en.wikipedia.org/wiki/Pyongyang_Sunan_International_Airport,
26588,VLVT,medium_airport,Wattay International Airport,17.988300323500003,102.56300354,564,AS,LA,LA-VT,Vientiane,yes,VLVT,VTE,,http://www.vientianeairport.com/,http://en.wikipedia.org/wiki/Wattay_International_Airport,
